'id_car_model','id_car_make','name','date_create','date_update','id_car_type'
'89','10','A8','1398979517','1472588777','1'
'90','10','Cabriolet','1398979517','1472588778','1'
'91','10','Coupe','1398979517','1472588778','1'
'93','10','Q3','1398979517','1472588781','1'
'94','10','Q5','1398979517','1472588782','1'
'95','10','Q7','1398979517','1472588782','1'
'96','10','Quattro','1398979517','1472588783','1'
'97','10','R8','1398979517','1472588783','1'
'98','10','RS Q3','1398979517','1472588783','1'
'99','10','RS2 Avant','1398979517','1524672318','1'
'100','10','RS 3','1398979517','1472588784','1'
'101','10','RS 4','1398979517','1472588784','1'
'102','10','RS 5','1398979517','1472588784','1'
'103','10','RS 6','1398979517','1472588785','1'
'104','10','RS 7','1398979517','1472588785','1'
'105','10','S1','1398979517','1472588786','1'
'106','10','S2','1398979517','1472588883','1'
'107','10','S3','1398979517','1472588883','1'
'108','10','S4','1398979517','1472588886','1'
'109','10','S5','1398979517','1472588887','1'
'110','10','S6','1398979517','1472588887','1'
'111','10','S7','1398979517','1472588890','1'
'112','10','S8','1398979517','1472588891','1'
'113','10','SQ5','1398979517','1493821452','1'
'114','10','TT','1398979517','1472588892','1'
'115','10','V8 (D11)','1398979517','1472588892','1'
'116','11','Allegro','1398983404','1524672321','1'
'120','11','Mini Metro','1398983404','1524672321','1'
'122','11','Montego','1398983404','1472589302','1'
'128','15','Arnage','1398983407','1472589303','1'
'129','15','Azure','1398983407','1472589304','1'
'130','15','Brooklands','1398983407','1472589304','1'
'131','15','Continental','1398983407','1493821563','1'
'132','15','Continental Flying Spur','1398983407','1493821612','1'
'133','15','Continental GT','1398983407','1493821642','1'
'134','15','Eight','1398983407','1524672322','1'
'135','15','Flying Spur','1398983407','1472589305','1'
'136','15','Mulsanne','1398983407','1472589306','1'
'137','15','Turbo R','1398983407','1472589306','1'
'150','18','i3','1398983410','1472589306','1'
'151','18','i8','1398983410','1472589307','1'
'152','18','X1','1398983410','1493821790','1'
'153','18','X3','1398983410','1493821922','1'
'154','18','X4','1398983410','1493821940','1'
'155','18','X5','1398983410','1493821960','1'
'156','18','X6','1398983410','1493821989','1'
'157','18','Z1','1398983410','1493822173','1'
'158','18','Z3','1398983410','1493822061','1'
'159','18','Z4','1398983410','1493822138','1'
'160','18','Z8','1398983410','1472589310','1'
'172','21','BS2','1398986708','1472589310','1'
'173','21','M1','1398986708','1472589311','1'
'174','21','BS4','1398986708','1493822252','1'
'175','21','M3','1398986708','1472589422','1'
'176','21','V5','1398986708','1493822294','1'
'177','22','Blenheim','1398986709','1493822335','1'
'178','22','Speedster','1398986709','1472589423','1'
'179','22','Fighter','1398986709','1493822412','1'
'182','24','EB 110','1398986711','1493899255','1'
'183','24','EB 112','1398986711','1472589424','1'
'185','25','Century','1398986712','1493822444','1'
'187','25','Enclave','1398986712','1472589425','1'
'188','25','Excelle','1398986712','1493822475','1'
'189','25','GL8','1398986712','1493822498','1'
'190','25','LaCrosse','1398986712','1472589426','1'
'191','25','LE Sabre','1398986712','1472589426','1'
'192','25','Lucerne','1398986712','1472589426','1'
'193','25','Park Avenue','1398986712','1472589427','1'
'195','25','Reatta','1398986712','1493822524','1'
'196','25','Regal','1398986712','1472589427','1'
'197','25','Rendezvous','1398986712','1493822118','1'
'198','25','Riviera','1398986712','1472589428','1'
'199','25','Roadmaster','1398986712','1472589429','1'
'200','25','Skylark','1398986712','1493899445','1'
'201','25','Terraza','1398986712','1472589429','1'
'202','26','e6','1398986713','1524672330','1'
'203','26','F0','1398986713','1472589430','1'
'204','26','F3','1398986713','1472589430','1'
'205','26','F6','1398986713','1472589430','1'
'206','26','F8','1398986713','1472589482','1'
'207','26','Flyer','1398986713','1472589486','1'
'208','26','G3','1398986713','1524672331','1'
'209','26','G6','1398986713','1524672331','1'
'210','26','L3','1398986713','1524672331','1'
'211','26','M6','1398986713','1524672331','1'
'212','26','S6','1398986713','1472589486','1'
'215','28','Allante','1398986715','1493899485','1'
'216','28','ATS','1398986715','1493899518','1'
'217','28','BLS','1398986715','1472589517','1'
'218','28','Brougham','1398986715','1472589517','1'
'219','28','Catera','1398986715','1472589517','1'
'220','28','CTS','1398986715','1493899564','1'
'221','28','De Ville','1398986715','1472589518','1'
'222','28','DTS','1398986715','1493899592','1'
'223','28','Eldorado','1398986715','1472589519','1'
'224','28','Escalade','1398986715','1472589519','1'
'225','28','Fleetwood','1398986715','1524672333','1'
'227','28','Seville','1398986715','1472589520','1'
'229','28','SRX','1398986715','1493899656','1'
'230','28','STS','1398986715','1472589520','1'
'231','28','XLR','1398986715','1493899804','1'
'232','28','XTS','1398986715','1524672334','1'
'233','29','C12','1398986716','1472589521','1'
'234','30','FX4S','1398986717','1493899848','1'
'235','31','21','1398990306','1472589522','1'
'236','31','CSR','1398990306','1503343504','1'
'237','31','Seven','1398990306','1503343506','1'
'239','32','CS35','1398990307','1493899881','1'
'240','32','Eado','1398990307','1472589525','1'
'241','32','Raeton','1398990307','1472589526','1'
'244','33','Flying','1398990307','1472589529','1'
'245','33','SUV','1398990307','1524672335','1'
'247','34','Amulet','1398990308','1472589538','1'
'248','34','Bonus','1398990308','1472589603','1'
'249','34','CrossEastar','1398990308','1493900274','1'
'250','34','Fora','1398990308','1472589607','1'
'251','34','IndiS','1398990308','1472589607','1'
'252','34','Kimo','1398990308','1472589610','1'
'253','34','Oriental Son','1398990308','1524672338','1'
'254','34','QQ6','1398990308','1493900359','1'
'255','34','QQ','1398990308','1493900337','1'
'256','34','Tiggo','1398990308','1472589723','1'
'257','34','Very','1398990308','1493900426','1'
'258','35','Alero','1398990310','1472589633','1'
'259','35','Astra','1398990310','1472589633','1'
'260','35','Astro','1398990310','1472589634','1'
'261','35','Avalanche','1398990310','1472589634','1'
'262','35','Aveo','1398990310','1472589634','1'
'263','35','Beretta','1398990310','1472589635','1'
'264','35','Blazer','1398990310','1472589635','1'
'267','35','Camaro','1398990310','1472589635','1'
'268','35','Caprice','1398990310','1472589636','1'
'269','35','Captiva','1398990310','1472589636','1'
'270','35','Cavalier','1398990310','1472589645','1'
'271','35','Celebrity','1398990310','1493900577','1'
'272','35','Celta','1398990310','1472589646','1'
'273','35','Chevette','1398990310','1472589655','1'
'274','35','Citation','1398990310','1472589656','1'
'275','35','Classic','1398990310','1493900110','1'
'276','35','Cobalt','1398990310','1472589732','1'
'277','35','Colorado','1398990310','1472589733','1'
'278','35','Corsa','1398990310','1472589733','1'
'279','35','Corsica','1398990310','1472589734','1'
'280','35','Corvette','1398990310','1472589734','1'
'282','35','Cruze','1398990310','1472589734','1'
'283','35','Epica','1398990310','1472589735','1'
'284','35','Equinox','1398990310','1493900709','1'
'285','35','Evanda','1398990310','1472589738','1'
'286','35','Express','1398990310','1472589739','1'
'287','35','HHR','1398990310','1493900746','1'
'288','35','Impala','1398990310','1472589742','1'
'289','35','Kalos','1398990310','1472589743','1'
'290','35','Lacetti','1398990310','1472589743','1'
'291','35','Lanos','1398990310','1472589843','1'
'292','35','Lumina','1398990310','1472589764','1'
'293','35','Lumina APV','1398990310','1472589765','1'
'294','35','LUV D-MAX','1398990310','1472589765','1'
'295','35','Malibu','1398990310','1472589765','1'
'296','35','Metro','1398990310','1472589766','1'
'297','35','Monte Carlo','1398990310','1472589766','1'
'298','35','Monza','1398990310','1472589767','1'
'299','35','MW','1398990310','1472589767','1'
'300','35','Niva','1398990310','1472589843','1'
'301','35','Nubira','1398990310','1472589844','1'
'302','35','Omega','1398990310','1472589844','1'
'303','35','Orlando','1398990310','1472589844','1'
'304','35','Prizm','1398990310','1472589845','1'
'305','35','Rezzo','1398990310','1472589845','1'
'306','35','S-10','1398990310','1472589848','1'
'307','35','Sail','1398990310','1493900628','1'
'308','35','Sonic','1398990310','1472589849','1'
'309','35','Spark','1398990310','1472589849','1'
'310','35','SSR','1398990310','1472589850','1'
'312','35','Suburban','1398990310','1493901028','1'
'313','35','Tahoe','1398990310','1472589971','1'
'314','35','Tavera','1398990310','1472589972','1'
'315','35','Tracker','1398990310','1472589892','1'
'316','35','TrailBlazer','1398990310','1493901110','1'
'317','35','Trans Sport','1398990310','1472589893','1'
'318','36','200','1398990312','1524672358','1'
'319','36','300C','1398990312','1493901274','1'
'320','36','300M','1398990312','1472589894','1'
'321','36','Aspen','1398990312','1472589894','1'
'322','36','Cirrus','1398990312','1493901315','1'
'323','36','Concorde','1398990312','1472589898','1'
'324','36','Crossfire','1398990312','1493901345','1'
'325','36','Dynasty','1398990312','1524672360','1'
'326','36','Fifth Avenue','1398990312','1493901368','1'
'327','36','Imperial','1398990312','1524672361','1'
'328','36','Intrepid','1398990312','1508604317','1'
'329','36','LeBaron','1398990312','1472589972','1'
'330','36','LHS','1398990312','1472589975','1'
'332','36','Neon','1398990312','1472589979','1'
'333','36','New Yorker','1398990312','1472589979','1'
'334','36','Pacifica','1398990312','1472589980','1'
'335','36','Prowler','1398990312','1472589980','1'
'336','36','PT Cruiser','1398990312','1472589981','1'
'337','36','Saratoga','1398990312','1524672363','1'
'338','36','Sebring','1398990312','1472589981','1'
'339','36','Stratus','1398990312','1524672364','1'
'340','36','TC','1398990312','1524672364','1'
'341','36','Town and Country','1398990312','1472589981','1'
'343','36','Vision','1398990312','1493900983','1'
'344','36','Voyager','1398990312','1500582379','1'
'345','37','2 CV','1398990313','1472589982','1'
'346','37','Ami','1398990313','1524672365','1'
'347','37','AX','1398990313','1472589982','1'
'348','37','Berlingo','1398990313','1472589983','1'
'349','37','BX','1398990313','1472589983','1'
'350','37','C-Crosser','1398990313','1472589983','1'
'351','37','C-Elysee','1398990313','1472589984','1'
'352','37','C1','1398990313','1472589984','1'
'353','37','C2','1398990313','1472589993','1'
'354','37','C3','1398990313','1472589994','1'
'355','37','C3 Picasso','1398990313','1472589994','1'
'356','37','C4 AirCross','1398990313','1472589994','1'
'357','37','C4 Cactus','1398990313','1524672367','1'
'358','37','C4','1398990313','1472589995','1'
'359','37','C4 Picasso','1398990313','1472589995','1'
'360','37','C5','1398990313','1472590086','1'
'361','37','C6','1398990313','1472590086','1'
'362','37','C8','1398990313','1472590089','1'
'363','37','CX','1398990313','1472590090','1'
'364','37','DS3','1398990313','1472590090','1'
'365','37','DS4','1398990313','1472590090','1'
'366','37','DS5','1398990313','1472590091','1'
'367','37','Dyane','1398990313','1524672370','1'
'368','37','Evasion','1398990313','1472590091','1'
'369','37','GS','1398990313','1524672370','1'
'371','37','Saxo','1398990313','1472590094','1'
'372','37','Visa','1398990313','1524672372','1'
'373','37','Xantia','1398990313','1472590095','1'
'374','37','XM','1398990313','1472590095','1'
'375','37','Xsara','1398990313','1472590203','1'
'376','37','Xsara Picasso','1398990313','1472590125','1'
'377','37','ZX','1398990313','1472590126','1'
'378','38','V16T','1398990314','1472590126','1'
'379','39','T-Rex','1398990315','1472590126','1'
'380','40','1300','1398990316','1524672373','1'
'381','40','1310','1398990316','1472590127','1'
'383','40','Dokker','1398990316','1524672374','1'
'384','40','Duster','1398990316','1524672374','1'
'385','40','Lodgy','1398990316','1524672374','1'
'386','40','Logan','1398990316','1472590127','1'
'387','40','Nova','1398990316','1472590203','1'
'388','40','Sandero','1398990316','1472590148','1'
'389','40','Solenza','1398990316','1472590149','1'
'390','41','City Leading','1398994510','1472590149','1'
'391','41','Shuttle','1398994510','1472590158','1'
'392','41','Smoothing','1398994510','1472590159','1'
'393','42','Arcadia','1398994511','1472590159','1'
'394','42','Chairman','1398994511','1472590203','1'
'395','42','Damas','1398994511','1472590204','1'
'396','42','Espero','1398994511','1472590204','1'
'397','42','Evanda','1398994511','1472590204','1'
'398','42','G2X','1398994511','1472590208','1'
'399','42','Gentra','1398994511','1472590208','1'
'400','42','Kalos','1398994511','1472590208','1'
'401','42','Korando','1398994511','1472590209','1'
'402','42','Lacetti','1398994511','1472590209','1'
'403','42','Lanos','1398994511','1472590209','1'
'404','42','LeMans','1398994511','1472590210','1'
'405','42','Leganza','1398994511','1472590210','1'
'406','42','Magnus','1398994511','1472590323','1'
'407','42','Matiz','1398994511','1472590323','1'
'408','42','Musso','1398994511','1472590252','1'
'409','42','Nexia','1398994511','1472590253','1'
'410','42','Nubira','1398994511','1472590253','1'
'411','42','Prince','1398994511','1472590257','1'
'412','42','Racer','1398994511','1472590257','1'
'413','42','Rezzo','1398994511','1472590257','1'
'414','42','Tacuma','1398994512','1472590258','1'
'415','42','Tico','1398994512','1472590258','1'
'416','42','Tosca','1398994512','1472590258','1'
'417','42','Winstorm','1398994512','1472590324','1'
'420','44','Altis','1398994513','1472590324','1'
'421','44','Applause','1398994513','1472590327','1'
'422','44','Atrai','1398994513','1472590328','1'
'423','44','Be-go','1398994513','1472590328','1'
'424','44','Boon','1398994513','1472590337','1'
'425','44','Ceria','1398994513','1524672378','1'
'426','44','Charade','1398994513','1472590338','1'
'427','44','Charmant','1398994513','1524672378','1'
'428','44','Coo','1398994513','1524672378','1'
'429','44','Copen','1398994513','1472590341','1'
'430','44','Cuore','1398994513','1472590342','1'
'432','44','Esse','1398994513','1472590342','1'
'433','44','Feroza','1398994513','1472590342','1'
'434','44','Gran Move','1398994513','1472590351','1'
'435','44','Leeza','1398994513','1472590352','1'
'436','44','Materia','1398994513','1472590352','1'
'437','44','MAX','1398994513','1472590356','1'
'438','44','Mira Gino','1398994513','1524672380','1'
'439','44','Mira','1398994513','1472590356','1'
'440','44','Move','1398994513','1472590356','1'
'441','44','Naked','1398994513','1472590357','1'
'442','44','Opti','1398994513','1524672380','1'
'443','44','Pyzar','1398994513','1524672380','1'
'444','44','Rocky','1398994513','1472590360','1'
'445','44','Sirion','1398994513','1472590360','1'
'446','44','Sonica','1398994513','1472590361','1'
'447','44','Storia','1398994513','1472590361','1'
'448','44','Taft','1398994513','1524672381','1'
'449','44','Tanto','1398994513','1472590361','1'
'450','44','Terios','1398994513','1472590442','1'
'451','44','Trevis','1398994513','1472590442','1'
'452','44','Wildcat','1398994513','1524672381','1'
'453','44','Xenia','1398994513','1472590443','1'
'454','44','YRV','1398994513','1472590443','1'
'462','46','Fun','1398994515','1472590446','1'
'465','47','Bluebird','1398994516','1524672382','1'
'466','47','Cherry','1398994516','1524672383','1'
'467','47','GO','1398994516','1524672383','1'
'468','47','GO Plus','1398994516','1524672383','1'
'469','47','on-DO','1398994516','1472590447','1'
'470','47','Stanza','1398994516','1524672383','1'
'471','47','Sunny','1398994516','1524672383','1'
'473','48','Bigua','1398994517','1472590447','1'
'474','48','Guara','1398994517','1472590447','1'
'475','48','Mangusta','1398994517','1472590448','1'
'478','49','DMC-12','1398994518','1524672384','1'
'479','50','Antelope','1398994518','1472590448','1'
'480','50','Aurora','1398994518','1472590451','1'
'481','50','Cowboy','1398994518','1472590452','1'
'482','50','Land Crown','1398994519','1472590452','1'
'483','50','Plutus','1398994519','1472590452','1'
'484','50','Saladin','1398994519','1472590453','1'
'485','50','Shuttle','1398994519','1472590453','1'
'486','51','600','1398997805','1524672385','1'
'487','51','Aries','1398997805','1524672385','1'
'488','51','Avenger','1398997805','1472590456','1'
'489','51','Caliber','1398997805','1472590457','1'
'490','51','Caravan','1398997805','1472590457','1'
'491','51','Challenger','1398997805','1472590503','1'
'492','51','Charger','1398997805','1472590487','1'
'493','51','Dakota','1398997805','1472590488','1'
'494','51','Dart','1398997805','1524672386','1'
'495','51','Daytona','1398997805','1472590488','1'
'496','51','Durango','1398997805','1472590489','1'
'497','51','Dynasty','1398997805','1524672386','1'
'499','51','Intrepid','1398997805','1472590489','1'
'500','51','Journey','1398997805','1472590503','1'
'501','51','Magnum','1398997805','1472590623','1'
'502','51','Monaco','1398997805','1472590533','1'
'503','51','Neon','1398997805','1472590534','1'
'504','51','Nitro','1398997805','1472590534','1'
'505','51','Omni','1398997805','1524672387','1'
'506','51','Ram','1398997805','1472590534','1'
'507','51','Ramcharger','1398997805','1472590535','1'
'508','51','Shadow','1398997805','1472590535','1'
'509','51','Spirit','1398997805','1472590536','1'
'510','51','Stealth','1398997805','1472590536','1'
'511','51','Stratus','1398997805','1472590536','1'
'512','51','Viper','1398997805','1472590537','1'
'513','52','H30','1398997806','1472590537','1'
'514','52','MPV','1398997806','1524672389','1'
'515','52','Oting','1398997806','1472590538','1'
'516','52','Rich','1398997806','1472590538','1'
'517','53','Assol','1398997807','1524672389','1'
'518','53','Kondor','1398997807','1472590541','1'
'519','53','Orion','1398997807','1524672390','1'
'522','56','Premier','1398997809','1472590542','1'
'523','56','Summit','1398997809','1472590542','1'
'524','56','Talon','1398997809','1472590543','1'
'525','56','Vision','1398997809','1472590543','1'
'528','59','Audi A6','1398997811','1472590543','1'
'529','59','Audi 100','1398997811','1472590544','1'
'530','59','Besturn B50','1398997811','1472590623','1'
'531','59','Besturn B70','1398997811','1472590626','1'
'532','59','Volkswagen Bora','1398997811','1472590627','1'
'533','59','Volkswagen City Golf','1398997811','1472590627','1'
'534','59','Volkswagen Jetta','1398997811','1472590627','1'
'535','59','Jinn','1398997811','1472590628','1'
'536','59','Oley','1398997811','1472590628','1'
'537','59','V2','1398997811','1472590628','1'
'538','59','V5','1398997811','1472590629','1'
'539','59','Vita','1398997811','1472590629','1'
'540','60','208','1398997812','1524672392','1'
'541','60','328','1398997812','1524672393','1'
'542','60','348','1398997812','1472590746','1'
'543','60','360','1398997812','1472590746','1'
'544','60','400','1398997812','1524672393','1'
'546','60','456','1398997812','1472590671','1'
'547','60','458','1398997812','1472590672','1'
'551','60','550','1398997813','1472590672','1'
'552','60','575','1398997813','1472590746','1'
'553','60','599','1398997813','1472590747','1'
'554','60','612 Scaglietti','1398997813','1472590717','1'
'555','60','California','1398997813','1472590721','1'
'556','60','Enzo','1398997813','1472590721','1'
'557','60','F12berlinetta','1398997813','1472590724','1'
'558','60','F355','1398997813','1472590725','1'
'559','60','F40','1398997813','1472590725','1'
'560','60','F430','1398997813','1472590725','1'
'561','60','F50','1398997813','1472590747','1'
'562','60','FF','1398997813','1472590747','1'
'563','60','LaFerrari','1398997813','1472590751','1'
'564','60','Mondial','1398997813','1472590751','1'
'565','60','Testarossa','1398997813','1472590751','1'
'566','61','124','1399001706','1524672395','1'
'567','61','126','1399001706','1472590752','1'
'568','61','127','1399001706','1524672395','1'
'569','61','128','1399001706','1524672395','1'
'570','61','130','1399001706','1524672395','1'
'571','61','131','1399001706','1524672395','1'
'572','61','132','1399001706','1524672396','1'
'573','61','238','1399001706','1524672396','1'
'574','61','500','1399001706','1472590752','1'
'575','61','500L','1399001706','1472590755','1'
'576','61','600','1399001706','1472590759','1'
'578','61','Albea','1399001706','1472590759','1'
'579','61','Argenta','1399001706','1524672396','1'
'580','61','Barchetta','1399001706','1472590762','1'
'581','61','Brava','1399001706','1472590763','1'
'582','61','Bravo','1399001706','1472590763','1'
'583','61','Cinquecento','1399001706','1472590763','1'
'584','61','Coupe','1399001706','1472590764','1'
'585','61','Croma','1399001706','1472590764','1'
'586','61','Doblo','1399001706','1472590774','1'
'587','61','Duna','1399001706','1524672397','1'
'588','61','Fiorino','1399001706','1472590778','1'
'589','61','Freemont','1399001706','1472590778','1'
'590','61','Idea','1399001706','1472590779','1'
'591','61','Linea','1399001706','1472590779','1'
'592','61','Marea','1399001706','1472590863','1'
'593','61','Multipla','1399001706','1472590863','1'
'594','61','Palio','1399001706','1472590863','1'
'595','61','Panda','1399001706','1472590864','1'
'596','61','Punto','1399001706','1472590864','1'
'597','61','Qubo','1399001706','1524672398','1'
'598','61','Regata','1399001706','1524672399','1'
'599','61','Ritmo','1399001706','1524672399','1'
'600','61','Sedici','1399001706','1472590865','1'
'601','61','Seicento','1399001706','1524672399','1'
'602','61','Siena','1399001706','1472590865','1'
'603','61','Stilo','1399001706','1472590868','1'
'604','61','Strada','1399001706','1524672399','1'
'605','61','Tempra','1399001706','1472590869','1'
'606','61','Tipo','1399001706','1472590869','1'
'607','61','Ulysse','1399001706','1472590872','1'
'608','61','Uno','1399001706','1472590873','1'
'609','61','X1/9','1399001706','1524672400','1'
'610','62','Karma','1399001707','1524672400','1'
'611','63','Aerostar','1399001708','1472590873','1'
'612','63','Aspire','1399001708','1472590873','1'
'614','63','Bronco','1399001708','1472590874','1'
'615','63','C-Max','1399001708','1472590874','1'
'616','63','Capri','1399001708','1524672401','1'
'617','63','Consul','1399001708','1524672401','1'
'618','63','Contour','1399001708','1472590877','1'
'619','63','Cougar','1399001708','1472590878','1'
'620','63','Crown Victoria','1399001708','1472590878','1'
'621','63','Econoline','1399001708','1524672402','1'
'622','63','EcoSport','1399001708','1472590878','1'
'623','63','Edge','1399001708','1472590879','1'
'624','63','Escape','1399001708','1472590879','1'
'626','63','Escort','1399001708','1472590882','1'
'627','63','Everest','1399001708','1524672402','1'
'628','63','Excursion','1399001708','1472590883','1'
'629','63','Expedition','1399001708','1472590883','1'
'630','63','Explorer','1399001708','1472590983','1'
'632','63','Fairmont','1399001708','1524672403','1'
'633','63','Festiva','1399001708','1472590983','1'
'634','63','Fiesta','1399001708','1472590983','1'
'635','63','Five Hundred','1399001708','1472590984','1'
'636','63','Flex','1399001709','1472590984','1'
'637','63','Focus','1399001709','1472590985','1'
'638','63','Freestar','1399001709','1524672404','1'
'639','63','Freestyle','1399001709','1472590985','1'
'641','63','Fusion','1399001709','1472591103','1'
'642','63','Galaxy','1399001709','1472591015','1'
'644','63','Granada','1399001709','1524672404','1'
'645','63','GT','1399001709','1472591016','1'
'646','63','Ixion','1399001709','1524672405','1'
'647','63','Ka','1399001709','1472591016','1'
'648','63','Kuga','1399001709','1472591016','1'
'649','63','Laser','1399001709','1524672405','1'
'651','63','Maverick','1399001709','1472591017','1'
'652','63','Mondeo','1399001709','1472591017','1'
'653','63','Mustang','1399001709','1472591017','1'
'654','63','Orion','1399001709','1524672405','1'
'655','63','Probe','1399001709','1472591018','1'
'656','63','Puma','1399001709','1472591018','1'
'658','63','Ranger','1399001709','1472591019','1'
'659','63','S-Max','1399001709','1472591019','1'
'660','63','Scorpio','1399001709','1472591019','1'
'661','63','Sierra','1399001709','1472591020','1'
'663','63','Taunus','1399001709','1524672407','1'
'664','63','Taurus','1399001709','1472591020','1'
'665','63','Taurus X','1399001709','1472591023','1'
'666','63','Tempo','1399001709','1472591024','1'
'667','63','Thunderbird','1399001709','1472591024','1'
'668','63','Tourneo Connect','1399001709','1472591103','1'
'669','63','Windstar','1399001709','1472591103','1'
'670','64','Midi','1399001710','1524672409','1'
'676','65','Polonez','1399001710','1472591104','1'
'677','66','6500 Land King','1399001711','1472591104','1'
'678','67','Beauty Leopard','1399001712','1472591107','1'
'679','67','CK','1399001712','1524672410','1'
'680','67','Emgrand 7','1399001712','1513776671','1'
'682','67','Emgrand X7','1399001712','1513776672','1'
'683','67','Vision','1399001712','1472591108','1'
'685','67','LC','1399001712','1524672411','1'
'686','67','Panda','1399001712','1524672411','1'
'688','67','MK','1399001712','1472591109','1'
'689','67','MR','1399001712','1524672411','1'
'690','68','Metro','1399001713','1472591109','1'
'691','68','Prizm','1399001713','1472591109','1'
'692','68','Spectrum','1399001713','1472591110','1'
'693','68','Storm','1399001713','1472591110','1'
'694','68','Tracker','1399001713','1472591113','1'
'695','69','Acadia','1399001714','1472591114','1'
'696','69','Canyon','1399001714','1472591114','1'
'697','69','Envoy','1399001714','1472591115','1'
'698','69','Jimmy','1399001714','1472591115','1'
'699','69','Safari','1399001714','1524672412','1'
'700','69','Savana','1399001714','1482062181','1'
'701','69','Sierra','1399001714','1472591115','1'
'702','69','Sonoma','1399001714','1472591116','1'
'703','69','Suburban','1399001714','1472591116','1'
'705','69','Terrain','1399001714','1524672413','1'
'707','69','Vandura','1399001714','1524672413','1'
'708','69','Yukon','1399001714','1472591116','1'
'710','71','CoolBear','1399005015','1472591117','1'
'711','71','Cowry','1399005015','1472591117','1'
'712','71','Deer','1399005015','1472591117','1'
'713','71','Florid','1399005015','1472591223','1'
'714','71','Hover H3','1399005015','1513776690','1'
'716','71','Hover M2','1399005015','1513776690','1'
'717','71','Hover M4','1399005015','1513776690','1'
'718','71','Pegasus','1399005015','1472591227','1'
'719','71','Peri','1399005015','1472591227','1'
'720','71','Safe','1399005015','1472591227','1'
'721','71','Sailor','1399005015','1472591228','1'
'722','71','Sing RUV','1399005015','1472591228','1'
'723','71','Socool','1399005015','1472591229','1'
'724','71','Voleex C10','1399005015','1524672414','1'
'725','71','Wingle 3','1399005015','1472591229','1'
'726','72','Brio','1399005016','1472591229','1'
'727','72','Princip','1399005016','1472591230','1'
'728','72','Saibao','1399005016','1472591230','1'
'729','72','Sigma','1399005016','1472591233','1'
'730','72','Simbo','1399005016','1472591234','1'
